work_year,full_time_employee,salary_in_usd,US_resident,remote_ratio,US_location,Entry_Exp,Expert_Exp,Mid_Exp, Senior_Exp,Data Analyst,Data Engineer,Data Scientist,Machine Learning Engineer,USD,EUR,GBP,INR,Other_Currency,Large_Company,Midsize_Company,Small_Company
2020,1,98000,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2021,1,150000,0,100,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,100000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2021,1,36259,0,50,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
2021,1,55000,1,50,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021,1,9272,0,100,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2020,1,135000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2020,0,100000,1,100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,59102,0,100,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2022,1,18442,0,100,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
2022,1,70912,0,50,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
2020,1,72000,1,100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2020,1,85000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2020,1,8000,0,50,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2020,1,46759,0,50,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
2020,1,10000,0,100,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2020,1,6072,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2020,1,91000,1,100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,80000,1,100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2021,1,59102,0,50,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2021,1,80000,0,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
2021,1,75000,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,62000,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,51519,0,50,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
2021,1,90000,1,100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021,1,50000,1,100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2021,0,10354,0,50,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2021,1,90000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2021,1,135000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,60000,1,100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021,1,71786,0,100,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
2021,1,200000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,80000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,93000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,63831,0,50,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2022,1,155000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,120600,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,102100,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,84900,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,99000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,116000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,106260,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,126500,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,90320,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,124190,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,130000,1,100,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,110000,1,100,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,170000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,115500,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,112900,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,90320,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,112900,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,90320,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,167000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,136600,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,109280,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,135000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,130000,0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,61300,0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,130000,0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,61300,0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,58000,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2022,1,132000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,128875,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,93700,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,164000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,112900,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,90320,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,115934,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,81666,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,58000,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2022,1,52351,0,100,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2022,1,39263,0,100,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2022,1,43966,0,100,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
2022,1,32974,0,100,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
2022,1,43966,0,100,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
2022,1,32974,0,100,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
2022,1,135000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,50000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,20000,0,100,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2022,1,135000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,100000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,90320,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,85000,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,75000,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,112900,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,115934,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,81666,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,99050,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,116150,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,170000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,65438,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2022,1,80000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,100000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,69000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,150075,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,126500,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,106260,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,105000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,110925,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,45807,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2022,1,99000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,60000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,170000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,67000,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,52000,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,129000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,150000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2021,1,79197,0,100,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2021,1,110000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,50000,0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,20000,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,405000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,120000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2021,1,120000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,140000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
2022,1,145000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,105400,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,150260,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,109280,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2021,1,61896,0,50,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
2021,1,450000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2022,1,100000,1,50,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2020,1,87000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,170000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
2021,1,19609,0,100,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2021,1,88654,0,100,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2021,1,170000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2022,1,75000,0,100,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2020,1,20000,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2020,1,6072,0,100,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2022,1,175000,1,100,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2022,1,135000,1,100,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2022,1,205300,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2022,1,184700,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2021,1,99703,0,50,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
2020,1,109024,0,50,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2020,1,114047,0,100,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2020,1,70000,1,100,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,60000,0,50,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2021,1,22611,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
2021,1,18000,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
2021,1,5882,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2021,1,16228,0,100,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2021,1,89294,0,50,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
2021,1,160000,0,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
2021,1,150000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,170000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,180000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2022,1,192400,0,100,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2022,1,90700,0,100,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2022,1,208775,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2022,1,147800,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2022,1,266400,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2022,1,213120,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2022,1,192564,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2022,1,144854,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2020,1,41689,0,100,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2020,1,47899,0,50,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2020,1,33511,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
2020,1,74130,0,50,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2020,1,106000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2020,1,112872,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
2020,1,188000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
2020,1,70139,0,50,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2020,1,54742,0,100,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2020,1,110000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2020,1,130800,0,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2021,1,140000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,28476,0,100,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
2021,1,150000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,115000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
2021,1,150000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2021,1,30428,0,100,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2021,1,45391,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2021,1,200000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,100000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,90000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,28369,0,50,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2021,1,80000,1,100,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,82528,0,100,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
2021,1,26005,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2021,1,4000,0,100,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2021,1,76833,0,50,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2021,1,165000,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2021,0,20000,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,66022,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
2021,1,21637,0,50,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2021,1,110000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,72212,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
2021,1,12103,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
2021,1,96282,0,50,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
2021,1,200000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2021,1,93150,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2021,1,111775,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2021,1,28016,0,100,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
2021,1,65013,0,50,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2021,1,72500,1,100,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
